Exp,Site,Hole,Core,Type,Sect,Top(cm),Depth CSF-A (m),Porosity (vol%)
372,U1517,C,1,H,1,137,1.37,67.9
372,U1517,C,1,H,2,104,2.54,65.4
372,U1517,C,1,H,2,142,2.92,51.7
372,U1517,C,1,H,3,35,3.35,62.4
372,U1517,C,1,H,3,135,4.35,58.6
372,U1517,C,1,H,4,68,5.18,50.7
372,U1517,C,2,H,1,135,7.05,47.6
372,U1517,C,2,H,2,135,8.55,45.9
372,U1517,C,2,H,3,130,10,45.7
372,U1517,C,2,H,4,132,11.52,44.7
372,U1517,C,2,H,5,136,13.06,44.3
372,U1517,C,2,H,6,116,14.36,44
372,U1517,C,2,H,7,55,15.05,43.2
372,U1517,C,3,F,1,133,16.53,44.4
372,U1517,C,3,F,2,132,18.02,45.5
372,U1517,C,3,F,3,107,19.27,43.3
372,U1517,C,4,F,1,138,21.28,42.2
372,U1517,C,4,F,2,128,22.68,44.9
372,U1517,C,4,F,3,109,23.79,43.1
372,U1517,C,4,F,4,53,24.45,42.3
372,U1517,C,5,F,1,131,25.91,44
372,U1517,C,5,F,2,134,27.44,39
372,U1517,C,5,F,3,92,28.5,38
372,U1517,C,5,F,4,52,29.2,43
372,U1517,C,6,F,1,143,30.73,44.7
372,U1517,C,6,F,2,114,31.94,51.5
372,U1517,C,6,F,3,83,32.93,44.8
372,U1517,C,6,F,4,59,33.69,43.5
372,U1517,C,7,F,1,120,35.2,44.5
372,U1517,C,7,F,2,123,36.48,41.5
372,U1517,C,7,F,3,136,38.05,43.9
372,U1517,C,7,F,4,64,38.73,41.6
372,U1517,C,8,F,1,128,39.98,42.7
372,U1517,C,8,F,2,125,41.3,47.8
372,U1517,C,8,F,3,120,42.7,43.3
372,U1517,C,8,F,4,70,43.45,43.1
372,U1517,C,9,F,1,124,44.64,40.8
372,U1517,C,9,F,2,118,45.87,38.2
372,U1517,C,9,F,3,72,46.81,43.5
372,U1517,C,9,F,4,62,47.68,42
372,U1517,C,10,F,1,102,49.12,42.1
372,U1517,C,10,F,2,111,50.4,39.8
372,U1517,C,10,F,3,118,51.79,38.4
372,U1517,C,10,F,4,65,52.51,40.6
372,U1517,C,11,F,1,118,53.98,43.4
372,U1517,C,11,F,2,97,55.07,42.1
372,U1517,C,11,F,3,60,55.8,40.9
372,U1517,C,11,F,4,116,57.12,38.5
372,U1517,C,12,F,1,101,58.51,44.2
372,U1517,C,12,F,2,89,59.59,44.6
372,U1517,C,12,F,3,88,60.68,46.7
372,U1517,C,12,F,4,62,61.34,39.6
372,U1517,C,13,F,1,131,63.51,41.3
372,U1517,C,13,F,2,112,64.82,41.2
372,U1517,C,13,F,3,24,65.36,39.2
372,U1517,C,13,F,4,38,65.89,39.8
372,U1517,C,14,F,1,141,68.31,50.1
372,U1517,C,14,F,2,100,69.35,50.4
372,U1517,C,14,F,3,114,70.62,49.1
372,U1517,C,14,F,CC,31,71.52,48.5
372,U1517,C,15,H,2,104,73.17,49.7
372,U1517,C,15,H,3,138,74.84,48.4
372,U1517,C,15,H,4,92,75.91,47.3
372,U1517,C,15,H,5,114,77.2,48.5
372,U1517,C,15,H,6,83,78.32,50.3
372,U1517,C,15,H,7,121,79.67,50.2
372,U1517,C,15,H,9,40,80.75,49.8
372,U1517,C,16,H,1,42,81.52,48.5
372,U1517,C,16,H,3,89,83.48,47.7
372,U1517,C,16,H,4,100,84.53,51.4
372,U1517,C,16,H,5,71,85.39,49.7
372,U1517,C,16,H,6,110,86.67,49.6
372,U1517,C,16,H,7,122,88.21,51.7
372,U1517,C,16,H,8,104,89.49,49.2
372,U1517,C,16,H,9,121,91.06,48.7
372,U1517,C,17,H,1,140,92,52.1
372,U1517,C,17,H,2,101,93.05,49.9
372,U1517,C,17,H,3,148,94.67,48.8
372,U1517,C,17,H,4,93,95.65,47.6
372,U1517,C,17,H,5,78,96.46,48.6
372,U1517,C,17,H,6,79,97.43,48.9
372,U1517,C,17,H,7,87,98.48,49.1
372,U1517,C,17,H,8,67,99.2,49.5
372,U1517,C,18,H,2,138,101.54,51.9
372,U1517,C,18,H,3,128,102.85,52.6
372,U1517,C,18,H,4,145,104.44,51.7
372,U1517,C,18,H,5,51,105,50.5
372,U1517,C,18,H,6,71,105.97,39
372,U1517,C,18,H,7,87,106.98,47.5
372,U1517,C,18,H,8,80,108.06,48.1
372,U1517,C,19,F,1,107,109.37,48.2
372,U1517,C,19,F,2,127,110.84,50.1
372,U1517,C,19,F,3,100,111.96,50.4
372,U1517,C,20,F,1,42,113.42,41
372,U1517,C,20,F,2,113,114.72,39.4
372,U1517,C,20,F,3,135,116.28,46.2
372,U1517,C,20,F,4,79,117.12,44.5
372,U1517,C,20,F,5,47,117.81,44.8
372,U1517,C,21,F,2,124,119.52,46.7
372,U1517,C,21,F,3,130,120.98,48.7
372,U1517,C,21,F,4,82,122,48.3
372,U1517,C,22,F,1,32,122.72,51
372,U1517,C,22,F,2,84,124.16,48.5
372,U1517,C,22,F,3,127,125.64,49
372,U1517,C,22,F,4,121,126.99,48.9
372,U1517,C,23,F,1,32,127.42,53
372,U1517,C,23,F,2,50,128.48,47.7
372,U1517,C,23,F,3,64,129.36,46.3
372,U1517,C,23,F,4,68,130.21,46.2
372,U1517,C,23,F,5,67,131.03,44.4
372,U1517,C,24,F,1,84,132.64,49.2
372,U1517,C,24,F,2,52,133.44,47.9
372,U1517,C,24,F,3,79,134.36,46.5
372,U1517,C,24,F,4,72,135.19,43.1
372,U1517,C,24,F,5,72,136.32,43.9
372,U1517,C,25,F,1,3,136.53,46.4
372,U1517,C,25,F,2,67,138.12,40.6
372,U1517,C,25,F,3,26,138.51,43
372,U1517,C,25,F,4,104,139.78,42.5
372,U1517,C,25,F,5,40,140.31,44.2
372,U1517,C,26,F,1,102,142.22,42.1
372,U1517,C,26,F,2,82,143.2,44.8
372,U1517,C,26,F,3,53,144.05,39.1
372,U1517,C,27,F,1,41,146.31,48
372,U1517,C,27,F,2,33,146.91,46.5
372,U1517,C,27,F,3,45,147.62,42.7
372,U1517,C,27,F,4,51,148.27,41.1
372,U1517,C,27,F,5,102,149.43,43.3
372,U1517,C,28,F,1,24,150.34,51.5
372,U1517,C,28,F,2,125,151.73,46.3
372,U1517,C,28,F,3,123,153.1,41.6
372,U1517,C,28,F,4,104,154.3,48.8
372,U1517,C,29,F,1,31,155.11,48.3
372,U1517,C,29,F,2,123,156.59,44
372,U1517,C,29,F,3,105,157.83,46.8
372,U1517,C,29,F,4,36,158.38,44.7
372,U1517,C,29,F,5,37,158.92,48.4
372,U1517,C,31,F,2,85,161.57,44.8
372,U1517,C,31,F,3,56,162.26,43.1
372,U1517,C,31,F,4,74,163.14,46.6
372,U1517,C,32,F,2,54,166,43.1
372,U1517,C,32,F,3,27,166.39,48.5
372,U1517,C,32,F,4,37,167.03,45.3
372,U1517,C,33,F,1,60,170.3,42.8
372,U1517,C,33,F,2,41,170.88,44.4
372,U1517,C,33,F,3,83,171.91,38.8
372,U1517,C,33,F,4,54,172.68,45
372,U1517,C,35,F,2,4,179.48,47.8
372,U1517,C,35,F,2,44,179.88,49
372,U1517,C,35,F,3,95,181.01,47.8
372,U1517,C,35,F,4,76,182.08,46.9
372,U1517,C,36,F,1,33,184.13,47.2
372,U1517,C,36,F,2,112,185.46,45.7